raw_name,canonical_name,confidence_score,resolution_method,source_context,resolved_at
Robocurve,Robocurve,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.629537+00:00
hiloop,Hiloop,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.631016+00:00
CueBench,CueBench,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.632741+00:00
Dawn Industries,Dawn Industries,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.635262+00:00
Nex,Nex,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.636868+00:00
OneCLI,OneCLI,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.638580+00:00
"Vernius Systems, Inc.",Vernius,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.640388+00:00
Wondering,Wondering,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.642266+00:00
Tracer,Tracer,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.643846+00:00
Avoca Systems,Avoca,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.645262+00:00
SubVysion,SubVysion,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.647011+00:00
Ethos Space Resources,Ethos Space Resources,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.650113+00:00
"SpaceFlow Technologies, Inc.",SpaceFlow,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.652283+00:00
Petrarch,Petrarch,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.655535+00:00
Locke,Locke,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.657603+00:00
Florin,Florin,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.659233+00:00
Earendil Robotics,Earendil Robotics,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.661947+00:00
Hebbian Robotics,Hebbian Robotics,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.664553+00:00
PRINCEPS,Princeps,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.666378+00:00
Hop Aero,Hop Aero,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.668270+00:00
Agent FM,Agent FM,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.670422+00:00
OpenRelay,OpenRelay,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.673114+00:00
Dock,Dock,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.674307+00:00
Verdict Machine,Verdict Machine,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.676876+00:00
TovenAI,TovenAI,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.678672+00:00
HyperProbe,HyperProbe,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.680488+00:00
Grip,Grip,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.681815+00:00
Skymerse,Skymerse,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.683703+00:00
Hubble,Hubble,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.685227+00:00
Palisade,Palisade,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.687251+00:00
83 Sciences,83 Sciences,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.689291+00:00
Chromie,Chromie,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.691100+00:00
Lamb Labs,Lambda Labs,0.8,FUZZY_TOKEN_SET,Y Combinator,2026-09-12T07:59:50.692327+00:00
Shiraz AI,Shiraz AI,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.694365+00:00
Mireye,Mireye,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.695940+00:00
Touchy,Touchy,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.697332+00:00
Derya,Derya,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.698887+00:00
Pennant,Pennant,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.700730+00:00
Decawork,Decawork,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.703631+00:00
CarSignal,CarSignal,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.705704+00:00
Axelrod,Axelrod,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.707349+00:00
Levocred AI,Levocred AI,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.709528+00:00
Praxis Robotics,Praxis Robotics,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.712149+00:00
Care GP,Care GP,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.713846+00:00
Radley,Radley,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.715725+00:00
Agnost AI,Agnost AI,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.717680+00:00
Agentcard,Agentcard,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.719699+00:00
ProvenMetal,ProvenMetal,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.722040+00:00
Gamgee,Gamgee,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.723610+00:00
Inkbox,Inkbox,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.725347+00:00
Cosmic Robotics,Cosmic Robotics,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.728004+00:00
Markov,Markov,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.729718+00:00
Familiar,Familiar,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.732848+00:00
Lumeria,Lumeria,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.735728+00:00
Marengo,Marengo,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.738040+00:00
RonanRx Inc.,RonanRx,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.739840+00:00
Waybill,Waybill,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.741465+00:00
Executor,Executor,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.743138+00:00
Last Accounting Company,Last Accounting,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.745615+00:00
Pacific,Pacific,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.748140+00:00
Luca IQ,Luca IQ,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.750027+00:00
Financial Datasets,Financial Datasets,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.754014+00:00
TryNearby,TryNearby,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.756179+00:00
Computable,Computable,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.758259+00:00
Denta,Denta,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.759806+00:00
Isengard Industries Inc,Isengard Industries,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.762806+00:00
Ekho Labs,Ekho,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.764035+00:00
Moving Atoms,Moving Atoms,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.766264+00:00
Vestris,Vestris,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.768018+00:00
Ultrasonium,Ultrasonium,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.770352+00:00
Arbital,Arbital,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.772086+00:00
PokerClubHub,PokerClubHub,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.774087+00:00
Neuron Industries,Neuron Industries,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.777048+00:00
Neuromorphic,Neuromorphic,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.779236+00:00
LATO,Lato,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.780564+00:00
Risklytics,Risklytics,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.782471+00:00
Daqstra,Daqstra,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.784112+00:00
Tenor,Tenor,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.785514+00:00
Qlo,Qlo,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.786644+00:00
Fabraix,Fabraix,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.788337+00:00
Omanta,Omanta,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.789956+00:00
Rational,Rational,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.791804+00:00
Aktoria Robotics,Aktoria Robotics,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.795210+00:00
Vendo,Vendo,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.796792+00:00
Akon Labs,Akon,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.798094+00:00
Click,Click,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.799519+00:00
Whitespace,Whitespace,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.801634+00:00
Almanac,Almanac,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.803881+00:00
TareBio,TareBio,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.805697+00:00
Greypoint Industries,Greypoint Industries,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.809091+00:00
Hilstart,Hilstart,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.810923+00:00
Aerogen Systems,Aerogen,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.812553+00:00
Graphify Labs,Graphify,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.814365+00:00
Ooak Data,Ooak Data,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.816260+00:00
Nori,Nori,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.817640+00:00
6thSense,6thSense,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.819440+00:00
Bloomy,Bloomy,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.820812+00:00
machine0,Machine0,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.822639+00:00
Pluto,Pluto,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.824228+00:00
FlowManual,FlowManual,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.826294+00:00
Elite,Elite,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.827756+00:00
Peer,Peer,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.829029+00:00
Molagri,Molagri,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.830822+00:00
Cerenovus,Cerenovus,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.832604+00:00
Agency Tool Company,Agency Tool,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.834674+00:00
Standard Machines,Standard Machines,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.837435+00:00
EdotEnv,EdotEnv,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.839067+00:00
Traceforce,Traceforce,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.841115+00:00
Veltha,Veltha,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.842733+00:00
Tarifflo Inc.,Tarifflo,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.844572+00:00
Callbook AI,Callbook AI,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.846690+00:00
Definite,Definite,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.848556+00:00
Alkera AI,Alkera AI,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.850564+00:00
Rasyn,Rasyn,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.852058+00:00
Manifold,Manifold,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.853963+00:00
screenpipe,Screenpipe,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.856261+00:00
Spectre Intelligence,Spectre Intelligence,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.859405+00:00
Zaplar,Zaplar,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.861046+00:00
Prodigy Research,Prodigy Research,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.863754+00:00
Touchmark,Touchmark,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.865732+00:00
Exosat,Exosat,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.867402+00:00
Codag,Codag,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.868953+00:00
Context.dev,Context.dev,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.871193+00:00
