schemaVersion,recordType,source.name,job_url,title,content.company,content.date,content.is_remote,content.role_family,location,collectedAt
1.0,JOB,Jobicy,https://jobicy.com/jobs/152956-president-business-unit,President – Business Unit,Tech,2026-09-09T17:29:54+00:00,True,Engineering,,2026-09-10T15:31:42.589084+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152955-partner-solutions-architect-pan-emea-gsi,Partner Solutions Architect (Pan-EMEA GSI),Tech,2026-09-09T17:29:30+00:00,True,Engineering,,2026-09-10T15:31:42.589151+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152954-marketing-operations-manager,Marketing Operations Manager,Tech,2026-09-09T17:29:05+00:00,True,Engineering,,2026-09-10T15:31:42.589217+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152953-ma-professional,M&A Professional,Tech,2026-09-09T17:28:39+00:00,True,Engineering,,2026-09-10T15:31:42.589283+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152952-senior-accountant-accounting-manager,Senior Accountant / Accounting Manager,Tech,2026-09-09T17:28:16+00:00,True,Engineering,,2026-09-10T15:31:42.589354+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152951-major-account-manager-emea,Major Account Manager (EMEA),Tech,2026-09-09T17:27:55+00:00,True,Engineering,,2026-09-10T15:31:42.589421+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152950-manager-customer-success-3,Manager – Customer Success,Tech,2026-09-09T17:27:34+00:00,True,Engineering,,2026-09-10T15:31:42.589493+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152949-senior-engineer-software-enterprise,"Senior Engineer (Software), Enterprise",Tech,2026-09-09T17:27:13+00:00,True,Engineering,,2026-09-10T15:31:42.589561+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152948-key-accounts-executive-emea,Key Accounts Executive – EMEA,Tech,2026-09-09T17:26:49+00:00,True,Engineering,,2026-09-10T15:31:42.589629+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152947-data-architect,Data Architect,Tech,2026-09-09T17:26:26+00:00,True,Engineering,,2026-09-10T15:31:42.589700+00:00
