schemaVersion,recordType,source.name,source.url,product_name,content.startupName,content.pricingModel,category,description,collectedAt
1.0,PRODUCT,Awesome Generative AI Directory,https://huggingface.co/collections/nvidia/parakeet-asr-659711f49d1469e51546e021,Parakeet,Parakeet,FREEMIUM,Generative AI Application,"A family of open speech recognition models by NVIDIA, including streaming and multilingual variants. #opensource",2026-09-12T07:57:10.572203+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://audiocraft.metademolab.com/,AudioCraft,AudioCraft,FREEMIUM,Generative AI Application,"A single-stop code base for generative audio needs, by Meta. Includes MusicGen for music and AudioGen for sounds. #opensource",2026-09-12T07:57:10.572303+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://stability.ai/stable-audio,Stable Audio,Stable Audio,FREEMIUM,Generative AI Application,Stable Audio is Stability AI's first product for music and sound effect generation.,2026-09-12T07:57:10.572329+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://www.aiva.ai/,AIVA,Aiva,FREEMIUM,Generative AI Application,AI-based music generation assistant. Choose from 250+ styles.,2026-09-12T07:57:10.572355+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://suno.com/,Suno AI,Suno,FREEMIUM,Generative AI Application,"Anyone can make great music. No instrument needed, just imagination. From your mind to music.",2026-09-12T07:57:10.572379+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://www.udio.com/,Udio,Udio,FREEMIUM,Generative AI Application,"Discover, create, and share music with the world.",2026-09-12T07:57:10.572400+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://scale.com/genai-platform,Scale Spellbook,Scale Spellbook,FREEMIUM,Generative AI Application,"Build, compare, and deploy large language model apps with Scale Spellbook.",2026-09-12T07:57:10.572558+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://morpher.com/ai,Morpher AI,Morpher AI,FREEMIUM,Generative AI Application,Morpher AI delivers real-time insights and analysis for any market.,2026-09-12T07:57:10.572659+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://whimsical.com/ai,Whimsical AI,Whimsical AI,FREEMIUM,Generative AI Application,"GPT-powered mind mapping, flowcharts, and visual tools for rapid idea development and process organization.",2026-09-12T07:57:10.572685+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://selfies-with-sama.vost.ai,Selfies with Sama,Selfies with Sama,FREEMIUM,Generative AI Application,Grab a picture with a real-life billionaire!,2026-09-12T07:57:10.572713+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://platform.openai.com/docs/guides/prompt-engineering,OpenAI Prompt Engineering Guide,OpenAI Prompt Engineering Guide,FREEMIUM,Generative AI Application,Strategies and tactics for getting better results from large language models.,2026-09-12T07:57:10.572833+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://promptperfect.jina.ai/,PromptPerfect,PromptPerfect,FREEMIUM,Generative AI Application,Tool for prompt engineering.,2026-09-12T07:57:10.572855+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://github.com/anthropics/courses,Anthropic courses,Anthropic courses,FREE,Generative AI Application,Anthropic's educational courses.,2026-09-12T07:57:10.572878+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://www.manning.com/books/build-a-large-language-model-from-scratch,Build a Large Language Model (From Scratch),Build a Large Language Model (From Scratch),FREEMIUM,Generative AI Application,"A guide to building your own working LLM, by Sebastian Raschka.",2026-09-12T07:57:10.572905+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://www.deeplearning.ai/short-courses/prompt-engineering-for-vision-models/,Prompt Engineering for Vision Models,Prompt Engineering for Vision Models,FREE,Generative AI Application,"A free DeepLearning.AI short course on how to prompt computer vision models with natural language, bounding boxes, segmentation masks, coordinate points, and other images.",2026-09-12T07:57:10.572930+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://www.manning.com/books/build-a-reasoning-model-from-scratch,Build a Reasoning Model (From Scratch),Build a Reasoning Model (From Scratch),FREEMIUM,Generative AI Application,"A guide to building a working reasoning model from the ground up, by Sebastian Raschka.",2026-09-12T07:57:10.572961+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://www.manning.com/books/build-an-ai-agent-from-scratch,Build an AI Agent (From Scratch),Build an AI Agent (From Scratch),FREEMIUM,Generative AI Application,"A book about building AI agents with tools, memory, planning, and multi-agent systems.",2026-09-12T07:57:10.572987+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://www.manning.com/books/build-a-deepseek-model-from-scratch,Build a DeepSeek Model (From Scratch),Build a DeepSeek Model (From Scratch),FREEMIUM,Generative AI Application,"A book about implementing DeepSeek-style LLM architecture, training, and distillation methods.",2026-09-12T07:57:10.573012+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://www.manning.com/books/ai-governance,AI Governance,AI Governance,FREEMIUM,Generative AI Application,"A book about governance, risk, compliance, security, privacy, and oversight for generative AI systems.",2026-09-12T07:57:10.573035+00:00
