schemaVersion,recordType,source.name,source.url,content.title,content.published_date,summary,category,collectedAt
1.0,NEWS,Hacker News AI,https://myday24.com/blog/how-i-build-garmin-watch-faces-with-ai-agents/,I build Garmin watch faces with AI agents,2026-09-10T13:42:57+00:00,Article URL: https://myday24.com/blog/how-i-build-garmin-watch-faces-with-ai-agents/ Comments URL: https://news.ycombinator.com/item?id=49643607 Points: 2 # Comments: 0,Artificial Intelligence,2026-09-10T15:31:43.898995+00:00
1.0,NEWS,Hacker News AI,https://www.theguardian.com/commentisfree/2026/sep/10/ai-control-sci-fi,Opinion: We have started losing control of AI. It's time to shut it down,2026-09-10T13:40:37+00:00,Article URL: https://www.theguardian.com/commentisfree/2026/sep/10/ai-control-sci-fi Comments URL: https://news.ycombinator.com/item?id=49643566 Points: 2 # Comments: 0,Artificial Intelligence,2026-09-10T15:31:43.899521+00:00
1.0,NEWS,Hacker News AI,https://grafista.io/,Grafista: Graphic design platform fighting AI slop,2026-09-10T13:35:31+00:00,Article URL: https://grafista.io/ Comments URL: https://news.ycombinator.com/item?id=49643495 Points: 1 # Comments: 0,Artificial Intelligence,2026-09-10T15:31:43.900068+00:00
1.0,NEWS,Hacker News AI,https://gizmodo.com/ai-doomlord-jacob-coxons-media-tour-has-begun-2000809720,AI Doomlord Jacob Coxon's Media Tour Has Begun,2026-09-10T13:21:50+00:00,Article URL: https://gizmodo.com/ai-doomlord-jacob-coxons-media-tour-has-begun-2000809720 Comments URL: https://news.ycombinator.com/item?id=49643299 Points: 20 # Comments: 15,Artificial Intelligence,2026-09-10T15:31:43.900588+00:00
1.0,NEWS,Hacker News AI,https://a11.to/blog/claudisms,Guiding AI writing to make technical text easier to review,2026-09-10T13:18:36+00:00,Article URL: https://a11.to/blog/claudisms Comments URL: https://news.ycombinator.com/item?id=49643266 Points: 1 # Comments: 2,Artificial Intelligence,2026-09-10T15:31:43.901233+00:00
1.0,NEWS,Hacker News AI,https://app.geosurge.ai/login,Show HN: AI Brand Visibility for Free Forever,2026-09-10T13:16:59+00:00,"Suppose you have a brand you care about — your own business or a nice business you are a fan of. I built a thing which lets you see what shows up in LLM searches and you can send it to my servers for comprehensive analysis, all completely free forever with beautiful dashboards and such! The reason I built it is that I make my purchase decisions wit",Artificial Intelligence,2026-09-10T15:31:43.902066+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/podcast/an-anthropic-researchers-doomsday-warning-comes-at-a-very-interesting-time,An Anthropic researcher’s doomsday warning comes at a very interesting time,2026-09-11T18:41:49+00:00,An Anthropic researcher’s doomsday warning comes at a very interesting time - Verified fresh AI signal from TechCrunch AI,Artificial Intelligence,2026-09-11T19:33:20.636757+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/11/nscale-adds-former-openai-exec-fidji-simo-to-its-board-ahead-of-potential-ipo,Nscale adds former OpenAI exec Fidji Simo to its board ahead of potential IPO,2026-09-11T16:46:25+00:00,Nscale adds former OpenAI exec Fidji Simo to its board ahead of potential IPO - Verified fresh AI signal from TechCrunch AI,Artificial Intelligence,2026-09-11T19:33:20.644158+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/10/jensen-huang-explains-why-nvidia-will-grow-an-astounding-70-next-year,Jensen Huang explains why Nvidia will grow an astounding 70% next year,2026-09-10T21:51:59+00:00,Jensen Huang explains why Nvidia will grow an astounding 70% next year - Verified fresh AI signal from TechCrunch AI,Artificial Intelligence,2026-09-11T19:33:20.646676+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/10/mark-wahlberg-is-coming-to-techcrunch-disrupt-2026,"Mark Wahlberg is coming to TechCrunch Disrupt 2026, and he wants to talk about your work, not his",2026-09-10T21:35:00+00:00,"Mark Wahlberg is coming to TechCrunch Disrupt 2026, and he wants to talk about your work, not his - Verified fresh AI signal from TechCrunch AI",Artificial Intelligence,2026-09-11T19:33:20.648197+00:00
